Target,Model,MAE,RMSE,R²,MAPE
Revenue,Baseline only,"     597,287","     801,326",0.7663,0.2313
Revenue,XGBoost tuned,"     586,738","     817,443",0.7560,0.2033
Revenue,CatBoost tuned,"     612,788","     831,753",0.7471,0.2169
Revenue,Ensemble blend,"     583,568","     813,050",0.7587,0.2015
COGS,Baseline only,"     488,679","     674,974",0.7821,0.2113
COGS,XGBoost tuned,"     547,284","     765,326",0.7156,0.2118
COGS,CatBoost tuned,"     556,726","     768,096",0.7109,0.2124
COGS,Ensemble blend,"     543,779","     759,328",0.7194,0.2090
